comb,f1-0.0,f1-1.0,f1-2.0,f1-3.0,macro.0,best_score_.0,hyper.0,f1-0.1,f1-1.1,f1-2.1,f1-3.1,macro.1,best_score_.1,hyper.1,f1-0.2,f1-1.2,f1-2.2,f1-3.2,macro.2,best_score_.2,hyper.2,f1-0.3,f1-1.3,f1-2.3,f1-3.3,macro.3,best_score_.3,hyper.3,f1-0.4,f1-1.4,f1-2.4,f1-3.4,macro.4,best_score_.4,hyper.4,f1-0.5,f1-1.5,f1-2.5,f1-3.5,macro.5,best_score_.5,hyper.5,f1-0.6,f1-1.6,f1-2.6,f1-3.6,macro.6,best_score_.6,hyper.6,f1-0.7,f1-1.7,f1-2.7,f1-3.7,macro.7,best_score_.7,hyper.7,f1-0.8,f1-1.8,f1-2.8,f1-3.8,macro.8,best_score_.8,hyper.8
30_15_4,0.8841463414634146,0.8977828966311546,0.42402826855123676,0.5035460992907802,0.6773759014841465,0.5560898431974095,"{'metric': 'euclidean', 'weights': 'uniform', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.8300865800865801,0.8209912536443149,0.44813278008298757,0.417910447761194,0.6292802653937691,0.562271488420035,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'ball_tree', 'n_neighbors': 5}",0.7234323432343235,0.5990566037735847,0.23437499999999997,0.3003663003663004,0.46430756184355215,0.5455166324990482,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.7068676716917923,0.7681478222613286,0.5875,0.3846153846153846,0.6117827196421264,0.5478960150051154,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 5}",0.011707317073170733,0.6624843161856964,0.582010582010582,0.5531914893617021,0.4523484261577878,0.5925552337915777,"{'metric': 'chebyshev', 'weights': 'uniform', 'algorithm': 'ball_tree', 'n_neighbors': 5}",0.9345106696100073,0.9164818920916481,0.46938775510204084,0.48999999999999994,0.702595079200924,0.567155026639001,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 5}",0.03495145631067961,0.632300163132137,0.4444444444444444,0.2204724409448819,0.33304212620803575,0.6031151083087055,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 5}",0.9021154535675869,0.8521440823327616,0.44728434504792336,0.1568627450980392,0.5896016565115777,0.51986720472736,"{'metric': 'euclidean', 'weights': 'uniform', 'algorithm': 'brute', 'n_neighbors': 5}",0.5109489051094891,0.8166877370417194,0.5490196078431373,0.5384615384615384,0.603779447113971,0.5642112361037771,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'kd_tree', 'n_neighbors': 5}"
10_5_1,0.8615384615384616,0.8844431173484623,0.4460431654676259,0.525096525096525,0.6792803173627686,0.5087350475958063,"{'metric': 'euclidean', 'weights': 'uniform', 'algorithm': 'kd_tree', 'n_neighbors': 15}",0.8573092603377986,0.8608187134502925,0.3881856540084388,0.3671875,0.6183752819491325,0.5505516738898542,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 5}",0.6868820039551746,0.5710455764075066,0.2549800796812749,0.2814814814814815,0.4485972853813594,0.5235253820383445,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'ball_tree', 'n_neighbors': 15}",0.7260556127703399,0.7465152297367063,0.44375,0.38390092879256965,0.575055442824904,0.540041783450695,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 5}",0.006103763987792472,0.6632124352331606,0.6031746031746031,0.5189873417721519,0.44786953604192703,0.5862522303260255,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 5}",0.9461713419257013,0.926235741444867,0.3846153846153846,0.46590909090909094,0.6807328897237609,0.5522625582095405,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'ball_tree', 'n_neighbors': 5}",0.07874015748031496,0.6440329218106996,0.368,0.28346456692913385,0.3435594115550371,0.5816192425416422,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 15}",0.8796648895658797,0.848249027237354,0.46006389776357826,0.26666666666666666,0.6136611203083697,0.5373015669588298,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.5683453237410072,0.8290713324360701,0.6428571428571429,0.3829787234042554,0.6058131306096188,0.5598501301649678,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'ball_tree', 'n_neighbors': 5}"
5_3_2,0.854355716878403,0.8789577336767157,0.4615384615384615,0.5367521367521367,0.6829010122114292,0.5137504579510388,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'kd_tree', 'n_neighbors': 18}",0.8463534159700203,0.8459483526268923,0.3703703703703704,0.3062015503875969,0.59221842233872,0.5443874766303285,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 18}",0.7048951048951049,0.572958500669344,0.2992957746478873,0.4285714285714286,0.5014302021959411,0.5327246027117761,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 9}",0.7265368074879839,0.7259498787388844,0.474964234620887,0.41531664212076586,0.5856918907421302,0.5294008241908823,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 9}",0.0030643513789581204,0.6650438169425512,0.5048543689320388,0.4078947368421052,0.3952143185239133,0.5843776618826791,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'ball_tree', 'n_neighbors': 9}",0.937428896473265,0.9177555726364334,0.36269430051813467,0.4178272980501393,0.6589265169194931,0.5446448955358004,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 18}",0.03033367037411527,0.6395006069013353,0.28571428571428575,0.2922077922077922,0.3119390887993821,0.5886685327775245,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'ball_tree', 'n_neighbors': 9}",0.855078125,0.8262216104611149,0.430921052631579,0.2706766917293233,0.5957243699555044,0.5343338429755304,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 18}",0.6055363321799307,0.840520191649555,0.6,0.5454545454545454,0.6478777673210078,0.5464689476934877,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 9}"
60_30_8,0.8713789107763614,0.896635197288792,0.4831804281345566,0.5830903790087464,0.7085712288021141,0.5502183324770638,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.8649951783992286,0.8833792470156107,0.3333333333333333,0.20300751879699247,0.5711788193862912,0.5328093574391791,"{'metric': 'minkowski', 'weights': 'uniform', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.6930693069306931,0.5288753799392097,0.3048780487804878,0.2865497076023392,0.45334311081318246,0.5611177193746,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 5}",0.7007240547063556,0.6687754179846362,0.5396039603960396,0.35543766578249336,0.5661352747173812,0.5450997286273693,"{'metric': 'chebyshev', 'weights': 'uniform', 'algorithm': 'ball_tree', 'n_neighbors': 5}",0.006762468300929839,0.6618512573568753,0.6521739130434783,0.5853658536585366,0.47653837308995506,0.5951616548588402,"{'metric': 'chebyshev', 'weights': 'uniform', 'algorithm': 'ball_tree', 'n_neighbors': 5}",0.9367245657568238,0.9075949367088608,0.4507042253521127,0.5339366515837104,0.7072400948503769,0.5611289096004317,"{'metric': 'chebyshev', 'weights': 'uniform', 'algorithm': 'ball_tree', 'n_neighbors': 5}",0.4111405835543766,0.6880733944954129,0.4266666666666667,0.1388888888888889,0.4161923834013363,0.5800619113758874,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.8913857677902621,0.8700059630292187,0.48924731182795694,0.39378238341968913,0.6611053565167817,0.5476787501884197,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.44299674267100975,0.8065573770491803,0.6666666666666666,0.6153846153846154,0.632901350442868,0.5741389792831464,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}"
60_90_0,0.8459214501510575,0.8805970149253731,0.5625,0.6363636363636364,0.7313455253600167,0.5096723181098275,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'ball_tree', 'n_neighbors': 5}",0.7721280602636534,0.7459016393442622,0.5294117647058824,0.3287671232876712,0.5940521469003673,0.5416551804726412,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 5}",0.7152941176470587,0.5390070921985816,0.0625,0.03773584905660378,0.338634264725561,0.425031212253368,"{'metric': 'euclidean', 'weights': 'uniform', 'algorithm': 'auto', 'n_neighbors': 5}",0.6450662739322534,0.48,0.4631578947368421,0.29213483146067415,0.4700897500324424,0.534944761815111,"{'metric': 'chebyshev', 'weights': 'uniform', 'algorithm': 'auto', 'n_neighbors': 5}",0.020270270270270268,0.6480686695278969,0.38095238095238093,0.2105263157894737,0.31495440913500544,0.4760980875910442,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 5}",0.8997429305912598,0.8475452196382429,0.4528301886792453,0.5263157894736843,0.681608532095608,0.539668013683055,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.4935064935064935,0.6842767295597484,0.0,0.0,0.2944458057665605,0.4793895441108754,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.8548387096774193,0.8493475682087782,0.46808510638297873,0.5046728971962617,0.6692360703663596,0.5355797985083094,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'ball_tree', 'n_neighbors': 5}",0.4675324675324675,0.810126582278481,0.4615384615384615,0.4,0.5347993778373525,0.45013489878762375,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'kd_tree', 'n_neighbors': 5}"
5_5_4,0.8532407407407407,0.8812537673297166,0.4792332268370607,0.5874587458745875,0.7002966201955265,0.5072987408026453,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.8467741935483871,0.8490732568402473,0.33874709976798145,0.35580524344569286,0.5975999484005772,0.5426133009112702,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 15}",0.7030927835051547,0.5674044265593561,0.2362204724409449,0.44716692189892804,0.48847115110109596,0.5305080275800313,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'kd_tree', 'n_neighbors': 15}",0.6795048143053645,0.7340713407134071,0.45688350983358544,0.3988183161004431,0.5673194952382,0.5347454818909934,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.0232205956587582,0.6583728924537567,0.4453781512605042,0.2781954887218045,0.3512917820237059,0.5902259494738415,"{'metric': 'manhattan', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.933587786259542,0.9069857197993053,0.38363171355498715,0.417989417989418,0.6605486594008131,0.5491961668084798,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 15}",0.036944583125312035,0.6389754240221529,0.3514376996805112,0.24444444444444444,0.3179505378181051,0.5875871128593633,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'ball_tree', 'n_neighbors': 5}",0.8721198156682028,0.8332750786438309,0.42036124794745483,0.2533081285444234,0.5947660677009781,0.524064607215709,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'kd_tree', 'n_neighbors': 15}",0.5734265734265734,0.8237704918032787,0.5765765765765766,0.5360824742268041,0.6274640290083081,0.5447734649983375,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 15}"
30_45_23,0.8664259927797834,0.8602860286028603,0.24193548387096778,0.3333333333333333,0.5754952096467362,0.4603948791688087,"{'metric': 'euclidean', 'weights': 'uniform', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.8231441048034934,0.8349726775956283,0.2888888888888889,0.23008849557522126,0.544273541715808,0.5020955139273368,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 5}",0.7058823529411764,0.5531914893617023,0.34328358208955223,0.3875,0.49746435609810774,0.5669365463406552,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'ball_tree', 'n_neighbors': 5}",0.6843501326259948,0.6004618937644343,0.5463917525773195,0.2967741935483871,0.5319944931290339,0.5504140490909819,"{'metric': 'chebyshev', 'weights': 'uniform', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.15053763440860218,0.6626905235255135,0.6055045871559632,0.4310344827586207,0.4624418069621749,0.606120105063736,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.9032258064516129,0.8728323699421965,0.45652173913043476,0.5813953488372093,0.7034938160903633,0.4962452741762109,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 5}",0.1624548736462094,0.6502331778814123,0.35714285714285715,0.09836065573770492,0.3170478911020459,0.5442163919854955,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.8672046955245781,0.8625792811839325,0.4581005586592179,0.48554913294797686,0.6683584170789263,0.5556530376733817,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.5945945945945946,0.8251366120218578,0.625,0.4444444444444444,0.6222939127652243,0.5773595457388659,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 5}"
5_5_0,0.8371559633027522,0.8657164291072769,0.36220472440944884,0.4150943396226416,0.6200428641105299,0.4832949707727873,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.8299711815561959,0.8238719068413392,0.26086956521739135,0.2526315789473684,0.5418360581405737,0.5223656508750204,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'ball_tree', 'n_neighbors': 5}",0.688135593220339,0.5923566878980892,0.22857142857142854,0.28571428571428575,0.4486944988510357,0.49443960390772723,"{'metric': 'minkowski', 'weights': 'uniform', 'algorithm': 'ball_tree', 'n_neighbors': 5}",0.691566265060241,0.6395511921458625,0.42962962962962964,0.3538461538461538,0.5286483101704718,0.4898665202543445,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 5}",0.03990024937655861,0.6617161716171617,0.47311827956989244,0.4838709677419355,0.41465141707638703,0.5456217954405613,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.9080882352941178,0.9062500000000001,0.47887323943661975,0.37681159420289856,0.667505767233409,0.50684690046976,"{'metric': 'minkowski', 'weights': 'uniform', 'algorithm': 'ball_tree', 'n_neighbors': 5}",0.10526315789473684,0.6445993031358885,0.26229508196721313,0.21276595744680854,0.30623087511116176,0.5552172804250861,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.8763183125599232,0.8297320656871219,0.347107438016529,0.08602150537634409,0.5347948304099795,0.48941014279838546,"{'metric': 'minkowski', 'weights': 'uniform', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.5932203389830508,0.831615120274914,0.5454545454545454,0.2105263157894737,0.545204080125496,0.5087322015471923,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'ball_tree', 'n_neighbors': 5}"
30_30_8,0.8494809688581314,0.8843861740166865,0.4968944099378882,0.5847953216374269,0.7038892186125332,0.5346662111431757,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.7970401691331924,0.7728337236533956,0.46551724137931033,0.3333333333333333,0.592181116874808,0.5456097428482286,"{'metric': 'chebyshev', 'weights': 'uniform', 'algorithm': 'auto', 'n_neighbors': 5}",0.7012622720897616,0.5369127516778524,0.4266666666666667,0.3134328358208955,0.49456863156379405,0.5504178690378896,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'ball_tree', 'n_neighbors': 5}",0.7221238938053096,0.6681514476614699,0.5363128491620112,0.21276595744680848,0.5348385370188998,0.5383942934955109,"{'metric': 'chebyshev', 'weights': 'uniform', 'algorithm': 'auto', 'n_neighbors': 5}",0.05660377358490566,0.6619170984455959,0.4615384615384615,0.5,0.42001483339224077,0.6089490505444187,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'ball_tree', 'n_neighbors': 5}",0.9107142857142857,0.8869565217391304,0.4489795918367347,0.4680851063829788,0.6786838764182824,0.5578337039963199,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.04914933837429111,0.6351989211058665,0.38461538461538464,0.29268292682926833,0.34041164273120267,0.6038697531897811,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'ball_tree', 'n_neighbors': 5}",0.8846990572878899,0.8585503166783954,0.5193370165745855,0.36601307189542476,0.657149865609074,0.519475907291986,"{'metric': 'chebyshev', 'weights': 'uniform', 'algorithm': 'brute', 'n_neighbors': 5}",0.4,0.7919799498746868,0.45161290322580644,0.4545454545454546,0.524534576911487,0.5267163654124237,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'kd_tree', 'n_neighbors': 5}"
60_90_68,0.8255287009063444,0.8676358071920429,0.5796344647519582,0.6898148148148148,0.7406534469162901,0.5633945007590043,"{'metric': 'chebyshev', 'weights': 'uniform', 'algorithm': 'auto', 'n_neighbors': 5}",0.801125703564728,0.771,0.5521885521885521,0.46056782334384866,0.6462205197742822,0.6018056865678134,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.6935687263556115,0.5111940298507464,0.32826747720364746,0.41469816272965876,0.48693209903491597,0.6036651888125364,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.23914495657982632,0.6610475617098133,0.4619883040935673,0.1597444089456869,0.38048130783222345,0.5263418387416774,"{'metric': 'euclidean', 'weights': 'uniform', 'algorithm': 'ball_tree', 'n_neighbors': 5}",0.1332300542215337,0.6668550437976829,0.6105263157894738,0.5531914893617021,0.49095072579259813,0.6442637236857084,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.9031032298923369,0.8800497203231821,0.537037037037037,0.6513761467889908,0.7428915335103867,0.591911985901686,"{'metric': 'chebyshev', 'weights': 'uniform', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.08076009501187648,0.639483719565855,0.3170731707317073,0.29565217391304344,0.33324228980562054,0.6518294271968879,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.8873239436619718,0.8667068757539204,0.5601965601965603,0.6193548387096774,0.7333955545805324,0.5700182111465253,"{'metric': 'chebyshev', 'weights': 'uniform', 'algorithm': 'ball_tree', 'n_neighbors': 5}",0.5508982035928145,0.8056206088992973,0.6341463414634148,0.5116279069767441,0.6255732652330677,0.6024380692808834,"{'metric': 'chebyshev', 'weights': 'uniform', 'algorithm': 'kd_tree', 'n_neighbors': 5}"
50_100_75,0.8277046365197481,0.8723897911832947,0.5984251968503936,0.6947368421052632,0.7483141166646748,0.5311883391204819,"{'metric': 'chebyshev', 'weights': 'uniform', 'algorithm': 'ball_tree', 'n_neighbors': 5}",0.8330893118594437,0.8522336769759451,0.3188405797101449,0.23391812865497078,0.5595204243001262,0.4901198683911924,"{'metric': 'euclidean', 'weights': 'uniform', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.658753709198813,0.5210526315789474,0.2952380952380952,0.40167364016736395,0.46917951904580485,0.5972646824485489,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 5}",0.32490272373540857,0.6694405917706888,0.5309734513274337,0.09326424870466321,0.40464525388454853,0.5133827500449166,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.24675324675324678,0.6772207563764291,0.5930232558139535,0.44303797468354433,0.4900088084067935,0.6109663635690773,"{'metric': 'chebyshev', 'weights': 'uniform', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.8512315270935961,0.8504672897196262,0.5970149253731344,0.6627218934911242,0.7403589089193702,0.5844081633610321,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.11355735805330244,0.6311512415349887,0.3529411764705882,0.2620689655172414,0.33992968539403023,0.6329179310414055,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 5}",0.8808630393996247,0.8395390070921984,0.425,0.15306122448979592,0.5746158177454047,0.465526573507727,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.5702127659574467,0.8166089965397924,0.5306122448979592,0.43749999999999994,0.5887335018487996,0.5052686582562615,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'ball_tree', 'n_neighbors': 5}"
30_30_15,0.8909313725490197,0.8777863182167563,0.37500000000000006,0.5599999999999999,0.6759294226914441,0.4885045678952221,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'ball_tree', 'n_neighbors': 5}",0.8507126781695423,0.8442437923250564,0.4189189189189189,0.27586206896551724,0.5974343645947587,0.5274834545745551,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.7308048103607772,0.5984962406015037,0.3216080402010051,0.28901734104046245,0.4849816080509371,0.5170326472127703,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.7237977805178792,0.6566037735849056,0.5427509293680297,0.24778761061946902,0.542735023522571,0.5667296635272163,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 5}",0.0641025641025641,0.6573304157549235,0.5263157894736842,0.46258503401360546,0.4275834508361943,0.5941082312049928,"{'metric': 'chebyshev', 'weights': 'uniform', 'algorithm': 'brute', 'n_neighbors': 5}",0.9032901296111665,0.8669354838709677,0.5,0.5734265734265733,0.7109130467271769,0.5606739813673273,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 5}",0.06217616580310881,0.6397800183318058,0.3603603603603604,0.1818181818181818,0.3110336815783642,0.6114668991243618,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 5}",0.8866897575457694,0.865412445730825,0.47509578544061304,0.4362139917695474,0.6658529951216887,0.5399208160419059,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.40625,0.7951807228915663,0.5384615384615384,0.27586206896551724,0.5039385825796555,0.5205576697708997,"{'metric': 'minkowski', 'weights': 'uniform', 'algorithm': 'auto', 'n_neighbors': 5}"
60_120_90,0.8440469536053662,0.8636507434356216,0.3534883720930233,0.6666666666666666,0.6819631839501694,0.4535609067659617,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'ball_tree', 'n_neighbors': 5}",0.8602150537634409,0.8737034777303233,0.28205128205128205,0.29743589743589743,0.5783514277452358,0.49355379362669616,"{'metric': 'euclidean', 'weights': 'uniform', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.6817769718948323,0.5317365269461078,0.37344398340248963,0.45674740484429066,0.5109262217719301,0.6029448869732064,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.6646403242147924,0.5379213483146068,0.6018237082066871,0.3157894736842105,0.5300437136050742,0.596978031680224,"{'metric': 'chebyshev', 'weights': 'uniform', 'algorithm': 'auto', 'n_neighbors': 5}",0.220675944333996,0.6693132195315601,0.5488372093023256,0.5054945054945055,0.4860802196655968,0.6387562196150787,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.9234828496042217,0.8864954432477217,0.5503355704697986,0.7577639751552795,0.7795194596192553,0.5034100899126718,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'auto', 'n_neighbors': 5}",0.470899470899471,0.6945606694560669,0.18556701030927836,0.043010752688172046,0.34850947583824704,0.5526107831043531,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'ball_tree', 'n_neighbors': 5}",0.874887488748875,0.8582995951417005,0.5266666666666666,0.657608695652174,0.7293656115523539,0.5768619663680651,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'ball_tree', 'n_neighbors': 5}",0.651685393258427,0.8419301164725458,0.5714285714285714,0.5357142857142857,0.6501895917184575,0.5992153848648379,"{'metric': 'chebyshev', 'weights': 'uniform', 'algorithm': 'ball_tree', 'n_neighbors': 5}"
10_10_8,0.8512014787430685,0.882939164063662,0.5306799336650082,0.5767790262172285,0.7103999006722418,0.525627549079412,"{'metric': 'minkowski', 'weights': 'uniform', 'algorithm': 'auto', 'n_neighbors': 5}",0.8674486803519063,0.8681096681096682,0.41927710843373495,0.4871794871794872,0.6605037360186992,0.5655311548921809,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.7079261672095548,0.5506367495451789,0.32608695652173914,0.3724832214765101,0.4892832736882458,0.5508485959652769,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.6977014838521967,0.77169373549884,0.5392912172573189,0.35000000000000003,0.5896716091520889,0.5603878031569829,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.03878667329686723,0.6598482349059717,0.5204081632653061,0.5013623978201636,0.43010136732207715,0.605646151443799,"{'metric': 'euclidean', 'weights': 'distance', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.9293937068303915,0.9088145896656534,0.44961240310077516,0.3966005665722379,0.6711053165422645,0.5726630958235115,"{'metric': 'minkowski', 'weights': 'distance', 'algorithm': 'kd_tree', 'n_neighbors': 5}",0.04635108481262328,0.6355525051475635,0.3984962406015038,0.19008264462809918,0.3176206187974474,0.6010165023506404,"{'metric': 'euclidean', 'weights': 'uniform', 'algorithm': 'brute', 'n_neighbors': 5}",0.888,0.8553459119496856,0.5088235294117647,0.3839441535776615,0.6590283987347779,0.5376290554847575,"{'metric': 'chebyshev', 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.4867924528301887,0.8144675150703281,0.5714285714285715,0.4946236559139785,0.5918280488107667,0.5619032694788723,"{'metric': 'minkowski', 'weights': 'uniform', 'algorithm': 'auto', 'n_neighbors': 5}"
